Name Meal,Calories Meal,Prote Meal,Carb Meal,Fat Meal
Greek Yogurt Strawberry Blended,145,14,21,0
Coca Cola,33,0,8,0
Spaguetti No.5,136,5,28,0
Margherita Sourdough Pizza,409,17,53,12
